Date,Price,Open,High,Low,Change %
Mar 22 2020,6.4455,6.5538,6.6170,6.3790,-1.63%
Mar 15 2020,6.5525,6.3320,6.5665,6.2775,3.48%
Mar 08 2020,6.3321,6.0919,6.3392,6.0833,3.94%
Mar 01 2020,6.0919,6.2443,6.2605,6.0288,-2.42%
Feb 23 2020,6.2427,6.0979,6.2605,6.0660,2.40%
Feb 16 2020,6.0964,6.0551,6.1289,6.0340,0.76%
Feb 09 2020,6.0505,6.0159,6.0683,5.9715,0.59%
Feb 02 2020,6.0153,5.9819,6.0476,5.9560,0.55%
Jan 26 2020,5.9822,5.9392,5.9876,5.9250,0.73%
Jan 19 2020,5.9391,5.8790,5.9478,5.8790,0.82%
Jan 12 2020,5.8908,5.8785,5.9106,5.8310,0.22%
Jan 05 2020,5.8777,5.9722,5.9881,5.8535,-1.58%
Dec 29 2019,5.9723,5.9493,5.9785,5.9320,0.37%
Dec 22 2019,5.9502,5.9388,5.9604,5.9130,0.17%
Dec 15 2019,5.9400,5.8115,5.9482,5.8028,2.27%
Dec 08 2019,5.8082,5.7758,5.8264,5.7570,0.55%
Dec 01 2019,5.7766,5.7465,5.7898,5.7230,0.52%
Nov 24 2019,5.7470,5.7173,5.7914,5.6960,0.59%
Nov 17 2019,5.7132,5.7434,5.7535,5.6790,-0.56%
Nov 10 2019,5.7453,5.7671,5.7947,5.7280,-0.37%
Nov 03 2019,5.7668,5.7065,5.7713,5.6750,0.95%
Oct 27 2019,5.7124,5.7871,5.7889,5.7042,-1.08%
Oct 20 2019,5.7748,5.7920,5.8669,5.7215,-0.30%
Oct 13 2019,5.7919,5.8852,5.9383,5.7435,-1.59%
Oct 06 2019,5.8853,5.7056,5.8996,5.6950,3.32%
Sep 29 2019,5.6962,5.6708,5.7577,5.6280,0.45%
Sep 22 2019,5.6708,5.7415,5.7438,5.6390,-1.27%
Sep 15 2019,5.7439,5.6858,5.7494,5.6490,1.02%
Sep 08 2019,5.6861,5.7126,5.7923,5.6440,-0.51%
